obstime,wd,ws,tempr,ap,rh
2012-01-01 00:00:00,233.79,10.34,-1.36,976,56.19
2012-01-01 01:00:00,232.24,11.34,-1.37,976,54.99
2012-01-01 02:00:00,236.04,10.87,-1.19,975.81,53.36
2012-01-01 03:00:00,240.23,11.76,-0.56,975,48.94
2012-01-01 04:00:00,234.68,13.07,-1.02,975,53.36
2012-01-01 05:00:00,231.56,14.32,-1.19,975,53.75
2012-01-01 06:00:00,234.64,13.85,-0.57,974.87,51.03
2012-01-01 07:00:00,236.77,13.65,-0.33,974,51.59
2012-01-01 08:00:00,235.86,12.9,-0.07,974,52.77
2012-01-01 09:00:00,235.05,12.56,0.3,974,50.73
2012-01-01 10:00:00,232.95,12.6,0.74,973.15,51.18
2012-01-01 11:00:00,236.37,12.97,1.24,973,48.97
2012-01-01 12:00:00,236.97,11.37,1.66,972.23,50.95
2012-01-01 13:00:00,235.91,10.92,2.13,971.48,52.37
2012-01-01 14:00:00,232.94,10.65,2.38,971,51.18
2012-01-01 15:00:00,232.96,10.67,2.31,970.88,48.86
2012-01-01 16:00:00,233.2,10.23,1.96,970,46.92
2012-01-01 17:00:00,239.31,9.7,1.72,969.92,46.41
2012-01-01 18:00:00,237.52,9.21,1.17,969.14,47.7
2012-01-01 19:00:00,241.56,8.73,0.69,969,44.6
2012-01-01 20:00:00,240.87,8.02,0.29,969,42.09
2012-01-01 21:00:00,238.69,7.79,-0.33,968.87,41.66
2012-01-01 22:00:00,218.85,9.01,-0.88,968,40.67
2012-01-01 23:00:00,197.78,13.39,-2,967.24,43.26
2012-01-02 00:00:00,195.97,13.13,-2.15,966.61,38.89
2012-01-02 01:00:00,190.66,12.9,-3.2,966,43.8
2012-01-02 02:00:00,192.12,13.92,-3.33,965.47,42.8
2012-01-02 03:00:00,194.37,13.98,-2.92,965,41.26
2012-01-02 04:00:00,192.73,11.93,-2.59,965,43.16
2012-01-02 05:00:00,195.89,12.89,-2.08,965,43.92
2012-01-02 06:00:00,200.3,10.98,-1.34,965,45.28
2012-01-02 07:00:00,221.7,11.28,-0.58,965,43.51
2012-01-02 08:00:00,238.48,11.12,-0.26,965.35,43.35
2012-01-02 09:00:00,254.06,7.48,0.86,966,32.37
2012-01-02 10:00:00,260.87,6.49,1.81,966,26.46
2012-01-02 11:00:00,292.61,5.09,2.42,965.75,26.89
2012-01-02 12:00:00,288.1,3.95,2.83,965,27.08
