"obstime","tempr","rh","ws","wd","ap"
2012-01-28 12:00:00,-0.33,34.24,4.51,155.95,982
2012-01-28 13:00:00,-0.44,38.07,4.19,149.7,982.02
2012-01-28 14:00:00,0.02,40.88,4.06,149.46,981.18
2012-01-28 15:00:00,-0.15,43.44,2.95,118.61,980.6
2012-01-28 16:00:00,0.06,44.14,3.14,134.17,979.63
2012-01-28 17:00:00,-0.01,44.95,5.26,162.08,978.77
2012-01-28 18:00:00,-0.45,45.08,5.99,161.67,977.67
2012-01-28 19:00:00,-1.47,46.45,6.91,173.04,976.78
2012-01-28 20:00:00,-2.64,48.3,7.73,176.25,976
2012-01-28 21:00:00,-3.2,46.03,8.13,177.1,975.4
2012-01-28 22:00:00,-3.51,42.65,8.74,174.12,974.62
2012-01-28 23:00:00,-3.61,40.92,9.09,172.05,974
2012-01-29 00:00:00,-3.85,42.39,8.58,174.54,973.07
2012-01-29 01:00:00,-4.44,44.62,10.07,175.72,972.28
2012-01-29 02:00:00,-5.11,46.86,10.5,176.11,971.15
2012-01-29 03:00:00,-5.21,46.36,10.67,176.78,970.12
2012-01-29 04:00:00,-5.06,46.38,10.84,175.4,969.47
2012-01-29 05:00:00,-4.98,47.41,12.45,174.45,968.53
2012-01-29 06:00:00,-4.43,50.49,12.73,174.06,967.93
2012-01-29 07:00:00,-3.88,54.35,12.34,174.15,967
2012-01-29 08:00:00,-3.3,59.42,13.3,173.74,966.03
2012-01-29 09:00:00,-2.96,60.29,14.36,173.37,965
2012-01-29 10:00:00,-2.3,58.76,14.65,172.17,964.17
2012-01-29 11:00:00,-1.79,62.4,14.04,171.66,964
2012-01-29 12:00:00,-1.13,61.14,12.39,173.87,963.8
2012-01-29 13:00:00,0.52,47.68,11.53,170.17,963
2012-01-29 14:00:00,1.12,43.8,12.29,168.99,962.47
2012-01-29 15:00:00,1.12,43.46,12.74,169.97,962.23
2012-01-29 16:00:00,0.99,45.29,13.33,166.65,962.52
2012-01-29 17:00:00,0.63,49.65,12.43,168.6,962.87
2012-01-29 18:00:00,0.65,49.3,10.36,164.09,963
2012-01-29 19:00:00,0.23,50.33,8.41,155.93,963.42
2012-01-29 20:00:00,-0.21,54.02,8.78,155.27,964
2012-01-29 21:00:00,-0.58,55.87,8.24,151.6,964.52
2012-01-29 22:00:00,-0.68,54.91,7.3,151.84,965
2012-01-29 23:00:00,-0.82,55.59,7,158.68,965.17
2012-01-30 00:00:00,-0.94,56.27,7.09,162.16,966
2012-01-30 01:00:00,-1.11,56.36,6.98,161.47,966.95
2012-01-30 02:00:00,-1.26,55.9,7.09,152.99,967.78
2012-01-30 03:00:00,-1.24,54.92,7.3,153.65,968.62
2012-01-30 04:00:00,-1.44,57.38,9.34,160.11,969.1
2012-01-30 05:00:00,-1.41,60.34,8.38,158.53,970.18
2012-01-30 06:00:00,-1.15,58.59,7.01,155.36,971.25
2012-01-30 07:00:00,-0.99,58.36,6.54,155.7,972.1
2012-01-30 08:00:00,-0.76,57.77,6.08,157.17,973.07
2012-01-30 09:00:00,-0.79,58.59,7.67,157.74,974
2012-01-30 10:00:00,-0.67,62.65,6.91,161.13,975
2012-01-30 11:00:00,-0.28,59.63,5.46,158.78,975.78
2012-01-30 12:00:00,-0.15,59.45,4.24,158.07,976.45
2012-01-30 13:00:00,0.19,57.87,3.97,164.55,977.1
2012-01-30 14:00:00,0.46,59.3,3.42,173.07,978
2012-01-30 15:00:00,0.82,59.31,2.94,175.18,978.5
2012-01-30 16:00:00,1.21,52.82,2.53,152.8,979.02
2012-01-30 17:00:00,1.17,53.73,1.62,138.39,979.88
2012-01-30 18:00:00,0.87,58.53,1.63,168.62,980.38
2012-01-30 19:00:00,0.69,58.45,1.59,177.54,981
2012-01-30 20:00:00,0.41,60.17,1.16,185.34,981.13
