"obstime","tempr","rh","ws","wd","ap"
2012-01-01 00:00:00,-1.36,56.19,10.34,233.79,976
2012-01-01 01:00:00,-1.37,54.99,11.34,232.24,976
2012-01-01 02:00:00,-1.19,53.36,10.87,236.04,975.81
2012-01-01 03:00:00,-0.56,48.94,11.76,240.23,975
2012-01-01 04:00:00,-1.02,53.36,13.07,234.68,975
2012-01-01 05:00:00,-1.19,53.75,14.32,231.56,975
2012-01-01 06:00:00,-0.57,51.03,13.85,234.64,974.87
2012-01-01 07:00:00,-0.33,51.59,13.65,236.77,974
2012-01-01 08:00:00,-0.07,52.77,12.9,235.86,974
2012-01-01 09:00:00,0.3,50.73,12.56,235.05,974
2012-01-01 10:00:00,0.74,51.18,12.6,232.95,973.15
2012-01-01 11:00:00,1.24,48.97,12.97,236.37,973
2012-01-01 12:00:00,1.66,50.95,11.37,236.97,972.23
2012-01-01 13:00:00,2.13,52.37,10.92,235.91,971.48
2012-01-01 14:00:00,2.38,51.18,10.65,232.94,971
2012-01-01 15:00:00,2.31,48.86,10.67,232.96,970.88
2012-01-01 16:00:00,1.96,46.92,10.23,233.2,970
2012-01-01 17:00:00,1.72,46.41,9.7,239.31,969.92
2012-01-01 18:00:00,1.17,47.7,9.21,237.52,969.14
2012-01-01 19:00:00,0.69,44.6,8.73,241.56,969
2012-01-01 20:00:00,0.29,42.09,8.02,240.87,969
2012-01-01 21:00:00,-0.33,41.66,7.79,238.69,968.87
2012-01-01 22:00:00,-0.88,40.67,9.01,218.85,968
2012-01-01 23:00:00,-2,43.26,13.39,197.78,967.24
2012-01-02 00:00:00,-2.15,38.89,13.13,195.97,966.61
2012-01-02 01:00:00,-3.2,43.8,12.9,190.66,966
2012-01-02 02:00:00,-3.33,42.8,13.92,192.12,965.47
2012-01-02 03:00:00,-2.92,41.26,13.98,194.37,965
2012-01-02 04:00:00,-2.59,43.16,11.93,192.73,965
2012-01-02 05:00:00,-2.08,43.92,12.89,195.89,965
2012-01-02 06:00:00,-1.34,45.28,10.98,200.3,965
2012-01-02 07:00:00,-0.58,43.51,11.28,221.7,965
2012-01-02 08:00:00,-0.26,43.35,11.12,238.48,965.35
2012-01-02 09:00:00,0.86,32.37,7.48,254.06,966
2012-01-02 10:00:00,1.81,26.46,6.49,260.87,966
2012-01-02 11:00:00,2.42,26.89,5.09,292.61,965.75
2012-01-02 12:00:00,2.83,27.08,3.95,288.1,965
2012-01-02 13:00:00,3.03,38,2.86,43.71,965
2012-01-02 14:00:00,2,40.46,3.34,22.88,965
2012-01-02 15:00:00,0.79,46.37,3.46,22.43,965
2012-01-02 16:00:00,0.71,46.88,2.14,154.27,965
