"obstime","wd","ws","tempr","ap","rh"
2015-02-06 00:00:00,119.28,9.2,-1.59,962.75,NA
2015-02-06 01:00:00,123.86,8.85,-1.26,962.64,NA
2015-02-06 02:00:00,122.56,7.19,-0.57,962.71,NA
2015-02-06 03:00:00,122.74,6.91,0,962.94,NA
2015-02-06 04:00:00,110.36,7.48,0.56,963.31,NA
2015-02-06 05:00:00,109.54,7.48,1.03,963.98,NA
2015-02-06 06:00:00,99.07,8.03,1.58,964.72,NA
2015-02-06 07:00:00,98.79,7.76,1.95,965.41,NA
2015-02-06 08:00:00,100.95,8.32,1.6,965.87,NA
2015-02-06 09:00:00,106.72,8.37,1.21,966.49,NA
2015-02-06 10:00:00,98.5,6.87,1.08,967.45,NA
2015-02-06 11:00:00,100.67,6.61,0.49,968.06,NA
2015-02-06 12:00:00,97.05,5.64,0.4,968.82,NA
2015-02-06 13:00:00,88.22,4.52,0.49,969.82,NA
2015-02-06 14:00:00,62.32,5.14,0.22,970.82,NA
2015-02-06 15:00:00,55.91,6.07,0,971.74,NA
2015-02-06 16:00:00,61.71,5.79,-0.22,972.58,NA
2015-02-06 17:00:00,65.37,6.13,-0.58,973.4,NA
2015-02-06 18:00:00,55.3,7.26,-0.76,974.49,NA
2015-02-06 19:00:00,53.3,7.74,-1,975.75,NA
2015-02-06 20:00:00,51.44,7.31,-1.12,976.97,NA
2015-02-06 21:00:00,52.39,7.49,-1.32,978.22,NA
2015-02-06 22:00:00,49.59,7.45,-1.73,979.37,NA
2015-02-06 23:00:00,54.18,7.21,-1.53,980.41,NA
2015-02-07 00:00:00,50.76,7.59,-1.32,981.25,NA
2015-02-07 01:00:00,53.95,8.08,-0.89,982.14,NA
2015-02-07 02:00:00,66.48,6.96,-0.53,982.88,NA
2015-02-07 03:00:00,57.12,6.65,-0.21,983.49,NA
2015-02-07 04:00:00,60.22,5.97,0.07,984.03,NA
2015-02-07 05:00:00,72.82,4.59,1.05,984.29,NA
2015-02-07 06:00:00,67.03,4.69,1.21,984.59,NA
2015-02-07 07:00:00,67.86,3.66,1.43,984.86,NA
2015-02-07 08:00:00,56.98,2.79,1.32,984.85,NA
2015-02-07 09:00:00,46.66,1.53,1.38,984.74,NA
2015-02-07 10:00:00,213.82,1.54,1.18,984.62,NA
2015-02-07 11:00:00,219.14,1.77,0.67,984.4,NA
2015-02-07 12:00:00,234.09,3.03,0.59,984.31,NA
2015-02-07 13:00:00,229.21,5.42,0.15,983.91,NA
2015-02-07 14:00:00,221.53,5.41,-0.23,983.59,NA
2015-02-07 15:00:00,229.19,5.75,-0.81,983.14,NA
2015-02-07 16:00:00,227.96,5.93,-0.2,982.64,NA
2015-02-07 17:00:00,232.44,6.06,0.48,982.2,NA
2015-02-07 18:00:00,223.37,5.55,-1.08,981.6,NA
2015-02-07 19:00:00,215.82,4.38,-1.86,980.9,NA
2015-02-07 20:00:00,208.67,4.3,-2.55,980.23,NA
2015-02-07 21:00:00,140.39,3.08,-3.36,979.78,NA
2015-02-07 22:00:00,85.79,6.75,-4.02,979.29,NA
2015-02-07 23:00:00,111.61,10.71,-4.57,979.07,NA
2015-02-08 00:00:00,114.72,12.03,-4.34,978.9,NA
2015-02-08 01:00:00,111.44,12.33,-4.02,978.68,NA
2015-02-08 02:00:00,110.72,12.62,-3.68,978.21,NA
2015-02-08 03:00:00,113.98,13.06,-3,977.87,NA
2015-02-08 04:00:00,113.7,13.01,-2.25,977.79,NA
2015-02-08 05:00:00,112.69,12.66,-1.51,977.53,NA
2015-02-08 06:00:00,114.37,11.42,-1.16,977.08,NA
2015-02-08 07:00:00,114.56,12.44,-0.75,976.29,NA
2015-02-08 08:00:00,114.52,10.21,-0.63,976,NA
2015-02-08 09:00:00,109.16,9.91,-0.6,975.74,NA
2015-02-08 10:00:00,106.2,8.33,-0.66,975.45,NA
2015-02-08 11:00:00,61.76,8.69,-0.94,975.23,NA
2015-02-08 12:00:00,50.35,6.62,-1.21,974.8,NA
2015-02-08 13:00:00,62.55,5.09,-1.49,974.42,NA
2015-02-08 14:00:00,35.03,5.42,-2.31,974.4,NA
2015-02-08 15:00:00,29.52,4.12,-3.19,974.55,NA
2015-02-08 16:00:00,46.05,3.29,-4.24,974.64,NA
2015-02-08 17:00:00,31.55,3.7,-4.21,974.8,NA
2015-02-08 18:00:00,33.37,3.18,-3.3,974.9,NA
2015-02-08 19:00:00,86.58,3.75,-3.17,975.18,NA
2015-02-08 20:00:00,101.42,4.21,-3.45,975.49,NA
2015-02-08 21:00:00,101.53,5.09,-3.51,975.71,NA
2015-02-08 22:00:00,95.57,5.15,-3.59,975.98,NA
2015-02-08 23:00:00,85.1,5.03,-3.16,976.18,NA
2015-02-09 00:00:00,82.82,3.73,-3.14,976.38,NA
2015-02-09 01:00:00,95.58,5.03,-3.01,976.49,NA
2015-02-09 02:00:00,93.57,5.86,-3.14,976.52,NA
2015-02-09 03:00:00,93.33,5.68,-2.89,976.64,NA
2015-02-09 04:00:00,82.18,5.26,-2.84,976.96,NA
2015-02-09 05:00:00,81.22,5.75,-2.7,977.19,NA
2015-02-09 06:00:00,75.37,6.78,-2.64,977.19,NA
2015-02-09 07:00:00,79.87,7.6,-2.6,977.1,NA
2015-02-09 08:00:00,74.6,7.88,-2.4,976.91,NA
2015-02-09 09:00:00,74.63,7.51,-2.3,976.67,NA
2015-02-09 10:00:00,66.48,7.71,-2.2,976.49,NA
2015-02-09 11:00:00,69.47,7.55,-2.22,976.04,NA
2015-02-09 12:00:00,68.88,6.99,-2.32,975.75,NA
2015-02-09 13:00:00,66.8,6.97,-2.53,975.16,NA
2015-02-09 14:00:00,68.3,6.43,-2.89,974.52,NA
2015-02-09 15:00:00,63.97,5.62,-3.12,973.86,NA
2015-02-09 16:00:00,64.72,4.73,-3.36,973.14,NA
2015-02-09 17:00:00,62.47,4.75,-3.69,972.46,NA
2015-02-09 18:00:00,79.4,4.8,-4.2,971.67,NA
2015-02-09 19:00:00,94.35,5.09,-4.96,970.83,NA
2015-02-09 20:00:00,92.07,5.64,-5.26,970.01,NA
2015-02-09 21:00:00,91.48,5.66,-5.82,969.62,NA
2015-02-09 22:00:00,90.2,6.68,-6.13,969.23,NA
2015-02-09 23:00:00,97.33,6.21,-5.74,968.97,NA
2015-02-10 00:00:00,104.43,6.3,-5.34,968.62,NA
2015-02-10 01:00:00,92.67,8.32,-4.82,968.16,NA
2015-02-10 02:00:00,85.53,9.63,-4.43,967.89,NA
2015-02-10 03:00:00,87.9,10.34,-4.18,967.74,NA
2015-02-10 04:00:00,88.43,9.28,-4.04,967.74,NA
2015-02-10 05:00:00,90.23,7.62,-3.49,967.94,NA
2015-02-10 06:00:00,81.53,7.34,-2.66,967.86,NA
2015-02-10 07:00:00,74.28,8.02,-2.36,968.06,NA
2015-02-10 08:00:00,76.23,8.01,-2.02,968.25,NA
2015-02-10 09:00:00,79.38,7.47,-1.9,968.43,NA
2015-02-10 10:00:00,74.18,5.96,-1.96,968.49,NA
2015-02-10 11:00:00,46.73,4.61,-1.72,968.79,NA
2015-02-10 12:00:00,49.97,4.45,-1.85,969.25,NA
2015-02-10 13:00:00,59.27,5.3,-2.34,969.51,NA
2015-02-10 14:00:00,56.42,3.85,-2.46,969.85,NA
2015-02-10 15:00:00,87.05,2.41,-2.54,970.16,NA
2015-02-10 16:00:00,209.03,1.63,-3.25,970.36,NA
2015-02-10 17:00:00,226.82,3.08,-4.61,970.68,NA
2015-02-10 18:00:00,211.97,2.05,-5.3,971.24,NA
2015-02-10 19:00:00,138.63,1.94,-6.1,971.74,NA
2015-02-10 20:00:00,106.67,2.08,-6.2,972.02,NA
2015-02-10 21:00:00,119.07,4.21,-6.51,972.35,NA
2015-02-10 22:00:00,122.43,5.46,-6.49,972.73,NA
2015-02-10 23:00:00,109.88,5.44,-6.45,973.22,NA
2015-02-11 00:00:00,113.6,5.39,-6.72,973.75,NA
2015-02-11 01:00:00,95,7.3,-6.53,974.13,NA
2015-02-11 02:00:00,92.8,8.73,-5.94,974.5,NA
2015-02-11 03:00:00,91.22,9.12,-5.42,974.74,NA
2015-02-11 04:00:00,89.65,9.55,-4.64,975.08,NA
2015-02-11 05:00:00,90.22,10.53,-4.05,975.58,NA
2015-02-11 06:00:00,89.32,10.3,-3.79,975.96,NA
2015-02-11 07:00:00,87.98,9.72,-3.57,976.29,NA
2015-02-11 08:00:00,85.33,9.29,-3.27,976.47,NA
2015-02-11 09:00:00,80.55,8.68,-3.17,976.71,NA
2015-02-11 10:00:00,70.42,9.2,-3.16,977.1,NA
2015-02-11 11:00:00,69.25,8.32,-3.1,977.42,NA
2015-02-11 12:00:00,67.33,7.7,-3.17,977.53,NA
2015-02-12 00:00:00,91.45,8.65,-7.04,978.49,NA
2015-02-12 01:00:00,92.82,8.23,-6.57,978.68,NA
2015-02-12 02:00:00,91.73,8.14,-5.77,978.7,NA
2015-02-12 03:00:00,91.03,8.2,-4.46,978.72,NA
2015-02-12 04:00:00,91.13,8.1,-3.61,978.77,NA
2015-02-12 05:00:00,91.22,8.13,-2.89,979.01,NA
2015-02-12 06:00:00,89.78,7.66,-2.37,979.16,NA
2015-02-12 07:00:00,92.32,7.15,-2.28,979.26,NA
2015-02-12 08:00:00,82.22,6.56,-2.38,979.32,NA
2015-02-12 09:00:00,64.7,5.88,-2.4,979.24,NA
2015-02-12 10:00:00,61.42,5.56,-2.35,979.15,NA
2015-02-12 11:00:00,50.57,5.34,-2.51,979.08,NA
2015-02-12 12:00:00,38.23,5.26,-2.76,979.1,NA
2015-02-12 13:00:00,43.03,5.43,-3.08,979.15,NA
2015-02-12 14:00:00,50.17,5.62,-3.76,979.04,NA
2015-02-12 15:00:00,51.28,5.54,-3.94,978.94,NA
2015-02-12 16:00:00,50.54,5.22,-4.07,978.55,NA
2015-02-12 17:00:00,64.08,5.49,-4.5,978.22,NA
2015-02-12 18:00:00,78,5.48,-4.48,977.85,NA
2015-02-12 19:00:00,92.67,5.96,-4.58,977.49,NA
2015-02-12 20:00:00,89.9,5.58,-4.99,977.04,NA
2015-02-12 21:00:00,87.63,5,-5.35,976.53,NA
2015-02-12 22:00:00,91.37,5.75,-5.51,976.23,NA
2015-02-12 23:00:00,86.65,5.45,-5.51,976.05,NA
2015-02-13 00:00:00,82.42,7.01,-5.11,975.74,NA
2015-02-13 01:00:00,83.67,7.25,-4.82,975.41,NA
2015-02-13 02:00:00,84.52,7.14,-4.02,975.02,NA
2015-02-13 03:00:00,87.63,6.79,-3.25,974.61,NA
2015-02-13 04:00:00,87.25,6.66,-2.58,974.36,NA
2015-02-13 05:00:00,82.83,6.82,-2.02,974.18,NA
2015-02-13 06:00:00,84.52,6.72,-1.28,974.02,NA
2015-02-13 07:00:00,81.83,6.55,-1.12,973.82,NA
2015-02-13 08:00:00,71.43,6.99,-0.62,973.58,NA
2015-02-13 09:00:00,61.17,6.69,-0.57,973.36,NA
2015-02-13 10:00:00,72.77,5.38,-0.51,973.19,NA
2015-02-13 11:00:00,65.23,4.92,-0.15,973.1,NA
2015-02-13 12:00:00,69.78,3.67,-0.4,973.1,NA
2015-02-13 13:00:00,46.13,3.62,-0.67,973,NA
2015-02-13 14:00:00,58.63,1.96,-1.25,972.91,NA
2015-02-13 15:00:00,91.83,2.01,-1.84,972.74,NA
2015-02-13 16:00:00,92.13,1.11,-2,972.67,NA
2015-02-13 17:00:00,96.1,2.44,-2.45,972.7,NA
2015-02-13 18:00:00,75.05,3,-2.66,972.95,NA
2015-02-13 19:00:00,91.03,4.01,-3.03,973.21,NA
2015-02-13 20:00:00,88.33,5.6,-3.38,973.5,NA
2015-02-13 21:00:00,84.88,7.17,-4.05,973.69,NA
2015-02-13 22:00:00,81.17,8.36,-4.7,974.12,NA
2015-02-13 23:00:00,73.13,7.63,-4.67,974.7,NA
2015-02-14 00:00:00,76.52,7.76,-4.87,975.39,NA
2015-02-14 01:00:00,79.07,8.1,-4.5,976.05,NA
2015-02-14 02:00:00,85.02,8.92,-3.93,976.49,NA
2015-02-14 03:00:00,87.45,9.61,-2.37,976.97,NA
